date,electricity
2012-01-01,12275144.0
2012-01-02,18225876.0
2012-01-03,18244919.0
2012-01-04,18311261.0
2012-01-05,18362412.0
2012-01-06,18444132.0
2012-01-07,18367948.0
2012-01-08,17874728.0
2012-01-09,17716678.0
2012-01-10,17999280.0
2012-01-11,17999741.0
2012-01-12,17954034.0
2012-01-13,18242674.0
2012-01-14,18316701.0
2012-01-15,17884912.0
2012-01-16,17899410.0
2012-01-17,17997065.0
2012-01-18,17883007.0
2012-01-19,17936888.0
2012-01-20,18323390.0
2012-01-21,18264547.0
2012-01-22,17818333.0
2012-01-23,17837611.0
2012-01-24,17886204.0
2012-01-25,17890179.0
2012-01-26,17955778.0
2012-01-27,17899613.0
2012-01-28,18022469.0
2012-01-29,17421124.0
2012-01-30,17839133.0
2012-01-31,17744833.0
2012-02-01,17913335.0
2012-02-02,17723768.0
2012-02-03,17729426.0
2012-02-04,17517714.0
2012-02-05,17183162.0
2012-02-06,17737350.0
2012-02-07,17912409.0
2012-02-08,17665985.0
2012-02-09,17621833.0
2012-02-10,17901259.0
2012-02-11,17994505.0
2012-02-12,17232679.0
2012-02-13,17440156.0
2012-02-14,17737789.0
2012-02-15,17568219.0
2012-02-16,17508929.0
2012-02-17,17793835.0
2012-02-18,17694133.0
2012-02-19,17098754.0
2012-02-20,17400879.0
2012-02-21,17411341.0
2012-02-22,17658993.0
2012-02-23,17624848.0
2012-02-24,17876771.0
2012-02-25,17943991.0
2012-02-26,17515943.0
2012-02-27,17706648.0
2012-02-28,17739120.0
2012-02-29,17671693.0
2012-03-01,17699059.0
2012-03-02,17894642.0
2012-03-03,18196143.0
2012-03-04,17889108.0
2012-03-05,17672005.0
2012-03-06,17803068.0
2012-03-07,17853316.0
2012-03-08,18092436.0
2012-03-09,18027326.0
2012-03-10,18160837.0
2012-03-11,17782599.0
2012-03-12,17963214.0
2012-03-13,18223903.0
2012-03-14,17983404.0
2012-03-15,17888983.0
2012-03-16,18060693.0
2012-03-17,17972691.0
2012-03-18,17149916.0
2012-03-19,17054273.0
2012-03-20,17297131.0
2012-03-21,17228209.0
2012-03-22,17347295.0
2012-03-23,17975472.0
2012-03-24,18284091.0
2012-03-25,17623154.0
2012-03-26,18177214.0
2012-03-27,18355461.0
2012-03-28,18361106.0
2012-03-29,18335540.0
2012-03-30,18441166.0
2012-03-31,18472246.0
2012-04-01,18026248.0
2012-04-02,17940320.0
2012-04-03,17911636.0
2012-04-04,17724471.0
2012-04-05,17635642.0
2012-04-06,17738305.0
2012-04-07,17823587.0
2012-04-08,16559704.0
2012-04-09,17832156.0
2012-04-10,17944563.0
2012-04-11,17657077.0
2012-04-12,17403260.0
2012-04-13,17753499.0
2012-04-14,17639151.0
2012-04-15,16820477.0
2012-04-16,17043869.0
2012-04-17,17580940.0
2012-04-18,17320137.0
2012-04-19,17519019.0
2012-04-20,17850203.0
2012-04-21,18184784.0
2012-04-22,17589400.0
2012-04-23,17688445.0
2012-04-24,17773942.0
2012-04-25,17750229.0
2012-04-26,17698861.0
2012-04-27,17732323.0
2012-04-28,17379447.0
2012-04-29,16664596.0
2012-04-30,17418026.0
2012-05-01,17437249.0
2012-05-02,17709663.0
2012-05-03,18060196.0
2012-05-04,18075112.0
2012-05-05,18282469.0
2012-05-06,17789474.0
2012-05-07,18222929.0
2012-05-08,19234774.0
2012-05-09,20886837.0
2012-05-10,21675449.0
2012-05-11,22033775.0
2012-05-12,23280656.0
2012-05-13,23005635.0
2012-05-14,23619817.0
2012-05-15,24123148.0
2012-05-16,23977003.0
2012-05-17,22313244.0
2012-05-18,20733053.0
2012-05-19,19483078.0
2012-05-20,18633056.0
2012-05-21,18878705.0
2012-05-22,20044981.0
